,Topic_Num,Topic_Perc_Contrib,Keywords,Text_x,liststring,url,date,content,renderedContent,id,user,outlinks,tcooutlinks,replyCount,retweetCount,likeCount,quoteCount,conversationId,lang,source,sourceUrl,sourceLabel,media,retweetedTweet,quotedTweet,mentionedUsers,proc_text,Text_y
0,0.0,0.756600022315979,"estado, solidaridad, tizapa, vzquez, prd, eren_thailandmx, movimiento, rt, hasta, ayotzinapa","['Otro', 'Ayotzinapa', 'puerta', ':', 'Mando', 'policiaco', 'SLP', 'sugiri', 'candidato', 'PAN', 'denunciara', 'PRD']","Otro,Ayotzinapa,puerta,:,Mando,policiaco,SLP,sugiri,candidato,PAN,denunciara,PRD",https://twitter.com/jhuape/status/588430532993687552,2015-04-15 19:55:46+00:00,@carlossotelog Otro Ayotzinapa en puerta: Mando policiaco de SLP sugirió a candidato del PAN denunciara al PRD  http://t.co/CGTFh6DglS …,@carlossotelog Otro Ayotzinapa en puerta: Mando policiaco de SLP sugirió a candidato del PAN denunciara al PRD  sinembargo.mx/15-04-2015/131… …,5.88e+17,"{'username': 'jhuape', 'displayname': 'ignacio suarez huape', 'id': 158150616, 'description': 'activista social, asesor parlamentario, militante Democracia Social PRD.', 'rawDescription': 'activista social, asesor parlamentario, militante Democracia Social PRD.', 'descriptionUrls': [], 'verified': False, 'created': '2010-06-21T22:49:39+00:00', 'followersCount': 1341, 'friendsCount': 1321, 'statusesCount': 50987, 'favouritesCount': 172, 'listedCount': 8, 'mediaCount': 715, 'location': 'cuernavaca', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/378800000461124686/5883ce1fc6d9e1ff71eb4a7b60ab9e9b_normal.jpeg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/158150616/1379251184', 'url': 'https://twitter.com/jhuape'}",['http://www.sinembargo.mx/15-04-2015/1313352'],['http://t.co/CGTFh6DglS'],0.0,1.0,0.0,0.0,5.88e+17,es,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",http://twitter.com,Twitter Web Client,,,,,Otro Ayotzinapa en puerta: Mando policiaco de SLP sugiri a candidato del PAN denunciara al PRD,"['Otro', 'Ayotzinapa', 'puerta', ':', 'Mando', 'policiaco', 'SLP', 'sugiri', 'candidato', 'PAN', 'denunciara', 'PRD']"
1,1.0,0.8608999848365784,"caso, ayotzinapa, pajaropolitico, onu, acto, tras, nmero, ao, vergenza, encontrar","['Tras', 'caso', 'present', 'declogo', 'acciones', 'fecha', 'cumplido']","Tras,caso,present,declogo,acciones,fecha,cumplido",https://twitter.com/Pajaropolitico/status/584505833934815232,2015-04-05 00:00:25+00:00,Tras caso #Ayotzinapa @EPN presentó un decálogo de acciones que a la fecha no se ha cumplido http://t.co/19GlRz5gHR,Tras caso #Ayotzinapa @EPN presentó un decálogo de acciones que a la fecha no se ha cumplido bit.ly/1OUV88R,5.85e+17,"{'username': 'Pajaropolitico', 'displayname': 'Animal Político', 'id': 84613584, 'description': 'Contamos historias que dan voz a las víctimas e investigan la corrupción. Únete a #YoSoyAnimal y hagamos equipo. Suscríbete aquí: bit.ly/suscribeteEA', 'rawDescription': 'Contamos historias que dan voz a las víctimas e investigan la corrupción. Únete a #YoSoyAnimal y hagamos equipo. Suscríbete aquí: https://t.co/lf6v2bjTnl', 'descriptionUrls': [{'text': 'bit.ly/suscribeteEA', 'url': 'http://bit.ly/suscribeteEA', 'tcourl': 'https://t.co/lf6v2bjTnl', 'indices': [130, 153]}], 'verified': True, 'created': '2009-10-23T15:13:11+00:00', 'followersCount': 2425946, 'friendsCount': 13464, 'statusesCount': 640571, 'favouritesCount': 24758, 'listedCount': 10680, 'mediaCount': 101875, 'location': 'México', 'protected': False, 'linkUrl': 'http://www.animalpolitico.com', 'linkTcourl': 'https://t.co/lFLbyiO1W8', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1379203451947782149/S5kC0Jq-_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/84613584/1617662710', 'url': 'https://twitter.com/Pajaropolitico'}",['http://bit.ly/1OUV88R'],['http://t.co/19GlRz5gHR'],9.0,31.0,8.0,0.0,5.85e+17,es,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",https://about.twitter.com/products/tweetdeck,TweetDeck,,,,"[{'username': 'EPN', 'displayname': 'Enrique Peña Nieto', 'id': 2897441, 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'url': 'https://twitter.com/EPN'}]",Tras caso present un declogo de acciones que a la fecha no se ha cumplido,"['Tras', 'caso', 'present', 'declogo', 'acciones', 'fecha', 'cumplido']"
12,2.0,0.8377000093460083,"lolareinadelsur, rt, historia, mas, mex, francisco, ayotzinapa, san, di, hace","['[', 'ccarlosfonseca', ']', 'Messico', ',', 'nuova', 'aggressione', 'della', 'polizia', 'contro', 'studenti', 'di', 'Ayotzinapa', ':', 'scontri', 'arresti']","[,ccarlosfonseca,],Messico,,,nuova,aggressione,della,polizia,contro,studenti,di,Ayotzinapa,:,scontri,arresti",https://twitter.com/noblogs/status/583608627887497216,2015-04-02 12:35:14+00:00,"[ccarlosfonseca] Messico, nuova aggressione della polizia contro studenti di Ayotzinapa: scontri e arresti http://t.co/ChoMPtYca3","[ccarlosfonseca] Messico, nuova aggressione della polizia contro studenti di Ayotzinapa: scontri e arresti nbl.gs/dI5",5.84e+17,"{'username': 'noblogs', 'displayname': 'noblogs', 'id': 76921960, 'description': 'free, anonymous, radical blogging platform.', 'rawDescription': 'free, anonymous, radical blogging platform.', 'descriptionUrls': [], 'verified': False, 'created': '2009-09-24T11:59:45+00:00', 'followersCount': 2555, 'friendsCount': 1, 'statusesCount': 356044, 'favouritesCount': 0, 'listedCount': 106, 'mediaCount': 106, 'location': '', 'protected': False, 'linkUrl': 'http://noblogs.org', 'linkTcourl': 'http://t.co/lIEWa2W1gM', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/433726335/noblogs_normal.gif', 'profileBannerUrl': None, 'url': 'https://twitter.com/noblogs'}",['http://nbl.gs/dI5'],['http://t.co/ChoMPtYca3'],0.0,0.0,0.0,0.0,5.84e+17,it,"<a href=""http://noblogs.org"" rel=""nofollow"">noblogs</a>",http://noblogs.org,noblogs,,,,,"[ccarlosfonseca] Messico, nuova aggressione della polizia contro studenti di Ayotzinapa: scontri e arresti","['[', 'ccarlosfonseca', ']', 'Messico', ',', 'nuova', 'aggressione', 'della', 'polizia', 'contro', 'studenti', 'di', 'Ayotzinapa', ':', 'scontri', 'arresti']"
13,3.0,0.8051999807357788,"video, accin, desde, un, iguala, ayotzinapa, slo, jess, cutberto, voto","['Un', 'ayotzinapa', 'recargado', 'Kenia']","Un,ayotzinapa,recargado,Kenia",https://twitter.com/Gibson7519/status/586186388342726656,2015-04-09 15:18:20+00:00,Un ayotzinapa recargado en Kenia http://t.co/j8BTsVsmRR,Un ayotzinapa recargado en Kenia fb.me/3QjOMpQWG,5.86e+17,"{'username': 'Gibson7519', 'displayname': 'Gibson Gamboa', 'id': 2578818288, 'description': 'Licenciado en Hotelería y Turismo, soy cubano y amo a mi tierra granmense.', 'rawDescription': 'Licenciado en Hotelería y Turismo, soy cubano y amo a mi tierra granmense.', 'descriptionUrls': [], 'verified': False, 'created': '2014-06-20T15:18:23+00:00', 'followersCount': 438, 'friendsCount': 1315, 'statusesCount': 17914, 'favouritesCount': 190, 'listedCount': 14, 'mediaCount': 534, 'location': 'Bayamo, Granma.', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/565212614389538816/z0gwxKCz_normal.jpeg', 'profileBannerUrl': None, 'url': 'https://twitter.com/Gibson7519'}",['http://fb.me/3QjOMpQWG'],['http://t.co/j8BTsVsmRR'],0.0,0.0,0.0,0.0,5.86e+17,es,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",http://www.facebook.com/twitter,Facebook,,,,,Un ayotzinapa recargado en Kenia,"['Un', 'ayotzinapa', 'recargado', 'Kenia']"
16,4.0,0.7807000279426575,"hijo, gobierno, da, ser, israel, informe, caballero, sanchez, is, tres","['Pues', 'lastima', 'director', 'deje', 'manipular', '.', '.empieza', 'caida', 'IPN', 'pronto', 'ser', 'Ayotzinapa']","Pues,lastima,director,deje,manipular,.,.empieza,caida,IPN,pronto,ser,Ayotzinapa",https://twitter.com/HecdalA/status/586154228575404033,2015-04-09 13:10:32+00:00,@mileniotv @IPN_MX # Pues que lastima que el director se deje manipular. .empieza la caida del IPN pronto será otro Ayotzinapa #,@mileniotv @IPN_MX # Pues que lastima que el director se deje manipular. .empieza la caida del IPN pronto será otro Ayotzinapa #,5.86e+17,"{'username': 'HecdalA', 'displayname': 'Hecdal Alvarez', 'id': 2909603802, 'description': '', 'rawDescription': '', 'descriptionUrls': [], 'verified': False, 'created': '2014-11-25T04:45:02+00:00', 'followersCount': 9, 'friendsCount': 74, 'statusesCount': 985, 'favouritesCount': 12, 'listedCount': 0, 'mediaCount': 3, 'location': '', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/581929999432712194/bG5zdGbc_normal.jpg', 'profileBannerUrl': None, 'url': 'https://twitter.com/HecdalA'}",[],[],0.0,0.0,0.0,0.0,5.86e+17,es,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://twitter.com/download/android,Twitter for Android,,,,"[{'username': 'mileniotv', 'displayname': 'Milenio Televisión', 'id': 103963822, 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'url': 'https://twitter.com/mileniotv'}, {'username': 'IPN_MX', 'displayname': 'IPN', 'id': 302901861, 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'url': 'https://twitter.com/IPN_MX'}]",Pues que lastima que el director se deje manipular. .empieza la caida del IPN pronto ser otro Ayotzinapa,"['Pues', 'lastima', 'director', 'deje', 'manipular', '.', '.empieza', 'caida', 'IPN', 'pronto', 'ser', 'Ayotzinapa']"
17,5.0,0.7598000168800354,"desaparicin, forzada, ayotzinapa, esta, estudiantes, una, lasillarota, olvidar, presidente, rt","['Sor_BrenRami', ':', 'RT', 'NewsweekEspanol', ':', 'Presidente', 'fundador', 'Human', 'Rights', 'Fundation', 'considera', 'caso']","Sor_BrenRami,:,RT,NewsweekEspanol,:,Presidente,fundador,Human,Rights,Fundation,considera,caso",https://twitter.com/AyotzinapaFeed/status/584242030466981890,2015-04-04 06:32:09+00:00,RT Sor_BrenRami: RT NewsweekEspanol: Presidente y fundador de la Human Rights Fundation considera caso #Ayotzinapa… http://t.co/4RJ7W4GoXU,RT Sor_BrenRami: RT NewsweekEspanol: Presidente y fundador de la Human Rights Fundation considera caso #Ayotzinapa… nswk.es/19L3xeZ,5.84e+17,"{'username': 'AyotzinapaFeed', 'displayname': 'AyotzinapaFeed', 'id': 2871590751, 'description': 'Lucharemos contra toda la injusticia!', 'rawDescription': 'Lucharemos contra toda la injusticia!', 'descriptionUrls': [], 'verified': False, 'created': '2014-11-11T01:43:13+00:00', 'followersCount': 6182, 'friendsCount': 4, 'statusesCount': 1005137, 'favouritesCount': 3, 'listedCount': 220, 'mediaCount': 644493, 'location': '', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1063542946404999168/mEiw2YGa_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/2871590751/1542403375', 'url': 'https://twitter.com/AyotzinapaFeed'}",['http://nswk.es/19L3xeZ'],['http://t.co/4RJ7W4GoXU'],0.0,0.0,0.0,0.0,5.84e+17,es,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",https://ifttt.com,IFTTT,,,,,Sor_BrenRami: RT NewsweekEspanol: Presidente y fundador de la Human Rights Fundation considera caso,"['Sor_BrenRami', ':', 'RT', 'NewsweekEspanol', ':', 'Presidente', 'fundador', 'Human', 'Rights', 'Fundation', 'considera', 'caso']"
18,6.0,0.756600022315979,"caravana, doctorr, flores, federal, rt, desapariciones, chicago, alfonso, tragedia, april","['``', ':', 'April', '-6', ':', 'Ayotzinapa', 'n', 'Chicago', '``']","``,:,April,-6,:,Ayotzinapa,n,Chicago,``",https://twitter.com/LenaGarFe/status/584319790606524418,2015-04-04 11:41:08+00:00,"""@ChicagoRising:April 3-6: #Caravana43 Ayotzinapa n Chicago https://t.co/V7ZSM7NWQm http://t.co/6RFzvRNCNC"" @xmax444 @aBejaAlfa @LadyAzafran","""@ChicagoRising:April 3-6: #Caravana43 Ayotzinapa n Chicago facebook.com/events/1642753… pic.twitter.com/6RFzvRNCNC"" @xmax444 @aBejaAlfa @LadyAzafran",5.84e+17,"{'username': 'LenaGarFe', 'displayname': 'Lena García Feijoo', 'id': 125994487, 'description': 'Mis ideas no son revolucionarias si no implican acciones en el ámbito educativo, familiar y político. Y amoroso', 'rawDescription': 'Mis ideas no son revolucionarias si no implican acciones en el ámbito educativo, familiar y político. Y amoroso', 'descriptionUrls': [], 'verified': False, 'created': '2010-03-24T14:19:12+00:00', 'followersCount': 2508, 'friendsCount': 3134, 'statusesCount': 133930, 'favouritesCount': 73166, 'listedCount': 32, 'mediaCount': 15753, 'location': 'México, DF', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1298203899774418945/8N1eFSCo_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/125994487/1435662813', 'url': 'https://twitter.com/LenaGarFe'}","['https://www.facebook.com/events/1642753052619106/', 'https://twitter.com/ChicagoRising/status/583064530646740992/photo/1']","['https://t.co/V7ZSM7NWQm', 'http://t.co/6RFzvRNCNC']",0.0,5.0,3.0,0.0,5.84e+17,es,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",http://twitter.com,Twitter Web Client,,,,"[{'username': 'ChicagoRising', 'displayname': 'Chicago Rising', 'id': 377011275, 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'url': 'https://twitter.com/ChicagoRising'}, {'username': 'xmax444', 'displayname': 'xmax444', 'id': 254891293, 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'url': 'https://twitter.com/xmax444'}, {'username': 'aBejaAlfa', 'displayname': 'Compa aBeja', 'id': 527965909, 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'url': 'https://twitter.com/aBejaAlfa'}]",""":April -6: Ayotzinapa n Chicago ""","['``', ':', 'April', '-6', ':', 'Ayotzinapa', 'n', 'Chicago', '``']"
19,7.0,0.8052999973297119,"iamjohnoliver, luis, epn, rt, melisa_q, jos, yosoy, lastweektonight, luna, cine","['Jos', 'Luis', 'Luna', 'Torres', ',', '.', '/09/14']","Jos,Luis,Luna,Torres,,,.,/09/14",https://twitter.com/LaAlamedaMor/status/586022894125228032,2015-04-09 04:28:40+00:00,"#TeBuscamos José Luis Luna Torres, de #Amilcingo #Morelos. #Desaparecido #Iguala 27/09/14 #Ayotzinapa http://t.co/44vjN2Xuk6 @Albertoovqz","#TeBuscamos José Luis Luna Torres, de #Amilcingo #Morelos. #Desaparecido #Iguala 27/09/14 #Ayotzinapa http://t.co/44vjN2Xuk6 @Albertoovqz",5.86e+17,"{'username': 'LaAlamedaMor', 'displayname': 'LaAlamedaMorelos', 'id': 2206575818, 'description': 'Los Desaparecidos. Están en algún sitio / concertados\r\ndesconcertados / sordos\r\nbuscándose / buscándonos... Mario Benedetti.', 'rawDescription': 'Los Desaparecidos. Están en algún sitio / concertados\r\ndesconcertados / sordos\r\nbuscándose / buscándonos... Mario Benedetti.', 'descriptionUrls': [], 'verified': False, 'created': '2013-11-21T06:23:34+00:00', 'followersCount': 14633, 'friendsCount': 14485, 'statusesCount': 105032, 'favouritesCount': 44174, 'listedCount': 105, 'mediaCount': 35046, 'location': 'México', 'protected': False, 'linkUrl': 'http://laalamedaradio.weebly.com/laalamedamorelos.html', 'linkTcourl': 'http://t.co/9v6ZjEzdCs', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/698729911326941184/tiL8IWdm_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/2206575818/1455425133', 'url': 'https://twitter.com/LaAlamedaMor'}",[],[],0.0,7.0,1.0,0.0,5.86e+17,es,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://twitter.com/download/android,Twitter for Android,"[{'previewUrl': 'https://pbs.twimg.com/media/BzuXQGOIMAA-AYp?format=jpg&name=small', 'fullUrl': 'https://pbs.twimg.com/media/BzuXQGOIMAA-AYp?format=jpg&name=large', 'type': 'photo'}]",,,"[{'username': 'Albertoovqz', 'displayname': 'Alberto Vasquez', 'id': 1415638561, 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'url': 'https://twitter.com/Albertoovqz'}]","Jos Luis Luna Torres, de . /09/14","['Jos', 'Luis', 'Luna', 'Torres', ',', '.', '/09/14']"
26,8.0,0.8608999848365784,"abril, rt, apoyo, viernes, internacionales, nacional, convocatoria, popular, hrs, des","['SarizZuri', ':', 'RT', 'Coordinadora1DM', ':', 'Convocatoria', 'II', 'Convencin', 'Nacional', 'Popular', 'Abril']","SarizZuri,:,RT,Coordinadora1DM,:,Convocatoria,II,Convencin,Nacional,Popular,Abril",https://twitter.com/AyotzinapaFeed/status/585521842682757120,2015-04-07 19:17:40+00:00,RT SarizZuri: RT Coordinadora1DM: Convocatoria a la II Convención Nacional Popular #Ayotzinapa 10 al 12 de Abril 2015 http://t.co/n4vqlAbNqf,RT SarizZuri: RT Coordinadora1DM: Convocatoria a la II Convención Nacional Popular #Ayotzinapa 10 al 12 de Abril 2015 wp.me/p3RE84-2aW,5.86e+17,"{'username': 'AyotzinapaFeed', 'displayname': 'AyotzinapaFeed', 'id': 2871590751, 'description': 'Lucharemos contra toda la injusticia!', 'rawDescription': 'Lucharemos contra toda la injusticia!', 'descriptionUrls': [], 'verified': False, 'created': '2014-11-11T01:43:13+00:00', 'followersCount': 6182, 'friendsCount': 4, 'statusesCount': 1005137, 'favouritesCount': 3, 'listedCount': 220, 'mediaCount': 644493, 'location': '', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1063542946404999168/mEiw2YGa_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/2871590751/1542403375', 'url': 'https://twitter.com/AyotzinapaFeed'}",['http://wp.me/p3RE84-2aW'],['http://t.co/n4vqlAbNqf'],0.0,0.0,0.0,0.0,5.86e+17,es,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",https://ifttt.com,IFTTT,,,,,SarizZuri: RT Coordinadora1DM: Convocatoria a la II Convencin Nacional Popular al de Abril,"['SarizZuri', ':', 'RT', 'Coordinadora1DM', ':', 'Convocatoria', 'II', 'Convencin', 'Nacional', 'Popular', 'Abril']"
27,9.0,0.756600022315979,"desinformemonos, rt, horas, diario, magdaleno, pri, noticias, texto, it, mismo","['AdriQuintero24', ':', 'RT', 'diario24horas', ':', 'Insiste', 'Navarretecarlos', 'Comisin', 'Especial', 'rena', 'Aba']","AdriQuintero24,:,RT,diario24horas,:,Insiste,Navarretecarlos,Comisin,Especial,rena,Aba",https://twitter.com/AyotzinapaFeed/status/589402613885620224,2015-04-18 12:18:28+00:00,RT AdriQuintero24: RT diario24horas: Insiste Navarretecarlos que Comisión Especial de #Ayotzinapa se reúna con Aba… http://t.co/W8i1rRxFil,RT AdriQuintero24: RT diario24horas: Insiste Navarretecarlos que Comisión Especial de #Ayotzinapa se reúna con Aba… http://t.co/W8i1rRxFil,5.89e+17,"{'username': 'AyotzinapaFeed', 'displayname': 'AyotzinapaFeed', 'id': 2871590751, 'description': 'Lucharemos contra toda la injusticia!', 'rawDescription': 'Lucharemos contra toda la injusticia!', 'descriptionUrls': [], 'verified': False, 'created': '2014-11-11T01:43:13+00:00', 'followersCount': 6182, 'friendsCount': 4, 'statusesCount': 1005137, 'favouritesCount': 3, 'listedCount': 220, 'mediaCount': 644493, 'location': '', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1063542946404999168/mEiw2YGa_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/2871590751/1542403375', 'url': 'https://twitter.com/AyotzinapaFeed'}",[],[],0.0,0.0,0.0,0.0,5.89e+17,es,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",https://ifttt.com,IFTTT,"[{'previewUrl': 'https://pbs.twimg.com/media/CC1GankWAAAJweA?format=jpg&name=small', 'fullUrl': 'https://pbs.twimg.com/media/CC1GankWAAAJweA?format=jpg&name=large', 'type': 'photo'}]",,,,AdriQuintero24: RT diario24horas: Insiste Navarretecarlos que Comisin Especial de se rena con Aba,"['AdriQuintero24', ':', 'RT', 'diario24horas', ':', 'Insiste', 'Navarretecarlos', 'Comisin', 'Especial', 'rena', 'Aba']"
