,Topic_Num,Topic_Perc_Contrib,Keywords,Text_x,liststring,url,date,content,renderedContent,id,user,outlinks,tcooutlinks,replyCount,retweetCount,likeCount,quoteCount,conversationId,lang,source,sourceUrl,sourceLabel,media,retweetedTweet,quotedTweet,mentionedUsers,proc_text,Text_y
0,0.0,0.9251000285148621,"rt, ayotzinapafeed, yamecanse_farc, lolareinadelsur, gh, amandis, mil, javiermontanod, di, laalamedamor","['AyotzinapaFeed', ':', 'RT', 'AyotzinapaFeed', ':', 'RT', 'amandis15gh', ':', 'RT', 'AyotzinapaFeed', ':', 'RT', 'AyotzinapaFeed', ':', 'RT', 'YaMeCanse_FARC', ':', ':']","AyotzinapaFeed,:,RT,AyotzinapaFeed,:,RT,amandis15gh,:,RT,AyotzinapaFeed,:,RT,AyotzinapaFeed,:,RT,YaMeCanse_FARC,:,:",https://twitter.com/AyotzinapaFeed/status/679290769753133057,2015-12-22 13:21:54+00:00,RT AyotzinapaFeed: RT AyotzinapaFeed: RT amandis15gh: RT AyotzinapaFeed: RT AyotzinapaFeed: RT YaMeCanse_FARC: #Ayotzinapa #AlvaroUribeVel:…,RT AyotzinapaFeed: RT AyotzinapaFeed: RT amandis15gh: RT AyotzinapaFeed: RT AyotzinapaFeed: RT YaMeCanse_FARC: #Ayotzinapa #AlvaroUribeVel:…,6.79E+17,"{'username': 'AyotzinapaFeed', 'displayname': 'AyotzinapaFeed', 'id': 2871590751, 'description': 'Lucharemos contra toda la injusticia!', 'rawDescription': 'Lucharemos contra toda la injusticia!', 'descriptionUrls': [], 'verified': False, 'created': '2014-11-11T01:43:13+00:00', 'followersCount': 6182, 'friendsCount': 4, 'statusesCount': 1005137, 'favouritesCount': 3, 'listedCount': 220, 'mediaCount': 644493, 'location': '', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1063542946404999168/mEiw2YGa_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/2871590751/1542403375', 'url': 'https://twitter.com/AyotzinapaFeed'}",[],[],0,0,0,0,6.79E+17,tl,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",https://ifttt.com,IFTTT,,,,,AyotzinapaFeed: RT AyotzinapaFeed: RT amandis15gh: RT AyotzinapaFeed: RT AyotzinapaFeed: RT YaMeCanse_FARC: :,"['AyotzinapaFeed', ':', 'RT', 'AyotzinapaFeed', ':', 'RT', 'amandis15gh', ':', 'RT', 'AyotzinapaFeed', ':', 'RT', 'AyotzinapaFeed', ':', 'RT', 'YaMeCanse_FARC', ':', ':']"
1,1.0,0.8052999973297119,"in, familias, con, the, retweeted, normal, ayotzinapa, pas, and, mas","['mundiario', ':', 'Two', 'Crisis', 'and', 'Different', 'Lefts', 'in', ',', 'between', 'the', 'Movement', 'and', 'Massacre', '(', 'Part', 'I', ')', ':']","mundiario,:,Two,Crisis,and,Different,Lefts,in,,,between,the,Movement,and,Massacre,(,Part,I,),:",https://twitter.com/AyotzinapaFeed/status/673909288402878464,2015-12-07 16:57:49+00:00,"RT mundiario: Two Crisis and Different Lefts in #México,between the 68 Movement and #Ayotzinapa Massacre (Part I): https://t.co/iONEl01vuy…","RT mundiario: Two Crisis and Different Lefts in #México,between the 68 Movement and #Ayotzinapa Massacre (Part I): mundiario.com/articulo/polit……",6.73909E+17,"{'username': 'AyotzinapaFeed', 'displayname': 'AyotzinapaFeed', 'id': 2871590751, 'description': 'Lucharemos contra toda la injusticia!', 'rawDescription': 'Lucharemos contra toda la injusticia!', 'descriptionUrls': [], 'verified': False, 'created': '2014-11-11T01:43:13+00:00', 'followersCount': 6182, 'friendsCount': 4, 'statusesCount': 1005137, 'favouritesCount': 3, 'listedCount': 220, 'mediaCount': 644493, 'location': '', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1063542946404999168/mEiw2YGa_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/2871590751/1542403375', 'url': 'https://twitter.com/AyotzinapaFeed'}",['http://www.mundiario.com/articulo/politica/two-crisis-anda-different-lefts-in-mexico-part-i/20151207174828050512.html'],['https://t.co/iONEl01vuy'],0,0,0,0,6.73909E+17,en,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",https://ifttt.com,IFTTT,,,,,"mundiario: Two Crisis and Different Lefts in ,between the Movement and Massacre (Part I):","['mundiario', ':', 'Two', 'Crisis', 'and', 'Different', 'Lefts', 'in', ',', 'between', 'the', 'Movement', 'and', 'Massacre', '(', 'Part', 'I', ')', ':']"
2,2.0,0.8783000111579895,"desaparicin, hay, revela, casa, apoyo, ayotzinapa, tres, rt, blanca, reikilisol","['Juvenicidio', ':', 'Ayotzinapa', 'vidas', 'precarias', 'Amrica', 'Latina', 'Espaa']","Juvenicidio,:,Ayotzinapa,vidas,precarias,Amrica,Latina,Espaa",https://twitter.com/PatyBanuelos24/status/674666019709784064,2015-12-09 19:04:48+00:00,Juvenicidio: Ayotzinapa y las vidas precarias en América Latina y España https://t.co/7Ykiai6Cj8,Juvenicidio: Ayotzinapa y las vidas precarias en América Latina y España contrasentido.mx/juvenicidio-ay…,6.74666E+17,"{'username': 'PatyBanuelos24', 'displayname': 'Paty Bañuelos', 'id': 1678524036, 'description': 'Mexicana renegada pero con esperanza, sibarita clasemediera con ínfulas de escritora. De corazón cinéfilo y alma gourmet “Como y luego existo”', 'rawDescription': 'Mexicana renegada pero con esperanza, sibarita clasemediera con ínfulas de escritora. De corazón cinéfilo y alma gourmet “Como y luego existo”', 'descriptionUrls': [], 'verified': False, 'created': '2013-08-17T15:53:28+00:00', 'followersCount': 727, 'friendsCount': 614, 'statusesCount': 17838, 'favouritesCount': 28616, 'listedCount': 38, 'mediaCount': 2114, 'location': 'Seattle, WA', 'protected': False, 'linkUrl': 'http://elvolardelcolibri.blogspot.mx', 'linkTcourl': 'https://t.co/7byTKqZ46v', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1380979751410528259/PSiF95cr_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1678524036/1618086205', 'url': 'https://twitter.com/PatyBanuelos24'}",['http://www.contrasentido.mx/juvenicidio-ayotzinapa/'],['https://t.co/7Ykiai6Cj8'],0,0,0,0,6.74666E+17,es,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",http://twitter.com,Twitter Web Client,,,,,Juvenicidio: Ayotzinapa y las vidas precarias en Amrica Latina y Espaa,"['Juvenicidio', ':', 'Ayotzinapa', 'vidas', 'precarias', 'Amrica', 'Latina', 'Espaa']"
4,3.0,0.8052999973297119,"rt, buscando, javiermontanod, lajornadaonline, abierta, caso, resultados, segob, debe, nuevos","['CarmenCadenaC', ':', 'RT', 'PedroFerriz', ':', 'Reitera', 'PGR_mx', 'compromiso', 'esclarecer', 'caso']","CarmenCadenaC,:,RT,PedroFerriz,:,Reitera,PGR_mx,compromiso,esclarecer,caso",https://twitter.com/AyotzinapaFeed/status/674289424629411840,2015-12-08 18:08:21+00:00,RT CarmenCadenaC: RT PedroFerriz: Reitera PGR_mx compromiso para esclarecer caso #Ayotzinapa https://t.co/J3tYpOqA1V,RT CarmenCadenaC: RT PedroFerriz: Reitera PGR_mx compromiso para esclarecer caso #Ayotzinapa bit.ly/1M1dj7v,6.74289E+17,"{'username': 'AyotzinapaFeed', 'displayname': 'AyotzinapaFeed', 'id': 2871590751, 'description': 'Lucharemos contra toda la injusticia!', 'rawDescription': 'Lucharemos contra toda la injusticia!', 'descriptionUrls': [], 'verified': False, 'created': '2014-11-11T01:43:13+00:00', 'followersCount': 6182, 'friendsCount': 4, 'statusesCount': 1005137, 'favouritesCount': 3, 'listedCount': 220, 'mediaCount': 644493, 'location': '', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1063542946404999168/mEiw2YGa_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/2871590751/1542403375', 'url': 'https://twitter.com/AyotzinapaFeed'}",['http://bit.ly/1M1dj7v'],['https://t.co/J3tYpOqA1V'],0,2,0,0,6.74289E+17,es,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",https://ifttt.com,IFTTT,,,,,CarmenCadenaC: RT PedroFerriz: Reitera PGR_mx compromiso para esclarecer caso,"['CarmenCadenaC', ':', 'RT', 'PedroFerriz', ':', 'Reitera', 'PGR_mx', 'compromiso', 'esclarecer', 'caso']"
5,4.0,0.86080002784729,"rt, epigmenioibarra, que, al, duelesmexico, queremos, crmenes, noticias, entrevista, hrsdocedeagosto","['luis_istllz81', ':', 'RT', 'DuelesMexico', ':', '?', '+26000que', 'queremos', '?', 'justiciacuando', '?', 'ahoraC']","luis_istllz81,:,RT,DuelesMexico,:,?,+26000que,queremos,?,justiciacuando,?,ahoraC",https://twitter.com/AyotzinapaFeed/status/673365745582120960,2015-12-06 04:57:58+00:00,"RT luis_istllz81: RT DuelesMexico: #Ayotzinapa
¿cuantos fueron? 43 +26000
¿que queremos? justicia
¿cuando?ahora
¿C… https://t.co/CsubdukAQk","RT luis_istllz81: RT DuelesMexico: #Ayotzinapa
¿cuantos fueron? 43 +26000
¿que queremos? justicia
¿cuando?ahora
¿C… pic.twitter.com/CsubdukAQk",6.73366E+17,"{'username': 'AyotzinapaFeed', 'displayname': 'AyotzinapaFeed', 'id': 2871590751, 'description': 'Lucharemos contra toda la injusticia!', 'rawDescription': 'Lucharemos contra toda la injusticia!', 'descriptionUrls': [], 'verified': False, 'created': '2014-11-11T01:43:13+00:00', 'followersCount': 6182, 'friendsCount': 4, 'statusesCount': 1005137, 'favouritesCount': 3, 'listedCount': 220, 'mediaCount': 644493, 'location': '', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1063542946404999168/mEiw2YGa_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/2871590751/1542403375', 'url': 'https://twitter.com/AyotzinapaFeed'}",['https://twitter.com/DuelesMexico/status/672633587322118144/photo/1'],['https://t.co/CsubdukAQk'],0,0,0,0,6.73366E+17,es,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",https://ifttt.com,IFTTT,,,,,luis_istllz81: RT DuelesMexico: fueron? +26000que queremos? justiciacuando?ahoraC,"['luis_istllz81', ':', 'RT', 'DuelesMexico', ':', '?', '+26000que', 'queremos', '?', 'justiciacuando', '?', 'ahoraC']"
6,5.0,0.8377000093460083,"rt, mundo, to, gracias, piden, hechos, julio, avances, from, todas","['LagarrapataS22', ':', 'ONGs', 'mundo', 'piden', 'avances', 'caso']","LagarrapataS22,:,ONGs,mundo,piden,avances,caso",https://twitter.com/AyotzinapaFeed/status/674293247594913793,2015-12-08 18:23:32+00:00,RT LagarrapataS22: ONG’s del mundo piden avances en caso #Ayotzinapa https://t.co/cWS5gVk8Dn https://t.co/WaFqbqIWWO,RT LagarrapataS22: ONG’s del mundo piden avances en caso #Ayotzinapa goo.gl/FL2klW https://t.co/WaFqbqIWWO,6.74293E+17,"{'username': 'AyotzinapaFeed', 'displayname': 'AyotzinapaFeed', 'id': 2871590751, 'description': 'Lucharemos contra toda la injusticia!', 'rawDescription': 'Lucharemos contra toda la injusticia!', 'descriptionUrls': [], 'verified': False, 'created': '2014-11-11T01:43:13+00:00', 'followersCount': 6182, 'friendsCount': 4, 'statusesCount': 1005137, 'favouritesCount': 3, 'listedCount': 220, 'mediaCount': 644493, 'location': '', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1063542946404999168/mEiw2YGa_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/2871590751/1542403375', 'url': 'https://twitter.com/AyotzinapaFeed'}",['http://goo.gl/FL2klW'],['https://t.co/cWS5gVk8Dn'],0,0,0,0,6.74293E+17,es,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",https://ifttt.com,IFTTT,"[{'previewUrl': 'https://pbs.twimg.com/media/CVuRRqwVEAAktJo?format=jpg&name=small', 'fullUrl': 'https://pbs.twimg.com/media/CVuRRqwVEAAktJo?format=jpg&name=large', 'type': 'photo'}]",,,,LagarrapataS22: ONGs del mundo piden avances en caso,"['LagarrapataS22', ':', 'ONGs', 'mundo', 'piden', 'avances', 'caso']"
7,6.0,0.8377000093460083,"lucha, dos, das, viovisa, haber, alexandrovill, rt, jvenes, ayotzinapa, pena","['mayrajosse', ':', 'RT', 'Revolux10', ':', 'Dedican', ""'honoris"", 'causa', ""'"", 'Eduardo', 'Galeano']","mayrajosse,:,RT,Revolux10,:,Dedican,'honoris,causa,',Eduardo,Galeano",https://twitter.com/AyotzinapaFeed/status/673163881133563905,2015-12-05 15:35:50+00:00,"RT mayrajosse: RT Revolux10: Dedican el 'honoris causa' de Eduardo Galeano a los 43 
#Ayotzinapa 
#FueElEstado 

… https://t.co/OTPI1RHu1W","RT mayrajosse: RT Revolux10: Dedican el 'honoris causa' de Eduardo Galeano a los 43 
#Ayotzinapa 
#FueElEstado 

… https://t.co/OTPI1RHu1W",6.73164E+17,"{'username': 'AyotzinapaFeed', 'displayname': 'AyotzinapaFeed', 'id': 2871590751, 'description': 'Lucharemos contra toda la injusticia!', 'rawDescription': 'Lucharemos contra toda la injusticia!', 'descriptionUrls': [], 'verified': False, 'created': '2014-11-11T01:43:13+00:00', 'followersCount': 6182, 'friendsCount': 4, 'statusesCount': 1005137, 'favouritesCount': 3, 'listedCount': 220, 'mediaCount': 644493, 'location': '', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1063542946404999168/mEiw2YGa_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/2871590751/1542403375', 'url': 'https://twitter.com/AyotzinapaFeed'}",[],[],0,1,1,0,6.73164E+17,es,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",https://ifttt.com,IFTTT,"[{'previewUrl': 'https://pbs.twimg.com/media/CVcTz-cUkAAfUTJ?format=jpg&name=small', 'fullUrl': 'https://pbs.twimg.com/media/CVcTz-cUkAAfUTJ?format=jpg&name=large', 'type': 'photo'}]",,,,mayrajosse: RT Revolux10: Dedican el 'honoris causa' de Eduardo Galeano a los,"['mayrajosse', ':', 'RT', 'Revolux10', ':', 'Dedican', ""'honoris"", 'causa', ""'"", 'Eduardo', 'Galeano']"
8,7.0,0.8052999973297119,"los, epn, de, estn, rt, dnde, es, todos, olvida, ayotzinapa","['DESVERGONZADO', 'LAMEHUEVOS', 'DE', 'EPN', ',', 'Y', 'DE', 'AYOTZINAPA', 'Q', 'DICES', '?']","DESVERGONZADO,LAMEHUEVOS,DE,EPN,,,Y,DE,AYOTZINAPA,Q,DICES,?",https://twitter.com/HASTA_LA_MADRE/status/674076740361162752,2015-12-08 04:03:13+00:00,"DESVERGONZADO @RicardoAnayaC LAMEHUEVOS DE EPN, Y DE AYOTZINAPA Q DICES ? @MarcialVaquero @Tuitextrema @canallasforever @charli_bad","DESVERGONZADO @RicardoAnayaC LAMEHUEVOS DE EPN, Y DE AYOTZINAPA Q DICES ? @MarcialVaquero @Tuitextrema @canallasforever @charli_bad",6.74077E+17,"{'username': 'HASTA_LA_MADRE', 'displayname': 'hasta_la_madre', 'id': 3252909498, 'description': '', 'rawDescription': '', 'descriptionUrls': [], 'verified': False, 'created': '2015-06-22T19:10:35+00:00', 'followersCount': 250, 'friendsCount': 685, 'statusesCount': 2914, 'favouritesCount': 1923, 'listedCount': 0, 'mediaCount': 33, 'location': 'Houston,texas', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/613069643045953536/Zgym35Vm_normal.jpg', 'profileBannerUrl': None, 'url': 'https://twitter.com/HASTA_LA_MADRE'}",[],[],0,2,0,0,6.72185E+17,es,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://twitter.com/download/android,Twitter for Android,,,,"[{'username': 'RicardoAnayaC', 'displayname': 'RicardoAnayaC', 'id': 151968088, 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'url': 'https://twitter.com/RicardoAnayaC'}, {'username': 'MarcialVaquero', 'displayname': 'V a q u e r o', 'id': 1347403818, 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'url': 'https://twitter.com/MarcialVaquero'}, {'username': 'Tuitextrema', 'displayname': 'MaryTere ✗', 'id': 968669664, 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'url': 'https://twitter.com/Tuitextrema'}, {'username': 'canallasforever', 'displayname': 'FER CANALLA', 'id': 147221006, 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'url': 'https://twitter.com/canallasforever'}, {'username': 'charli_bad', 'displayname': 'Carlos B', 'id': 549763269, 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'url': 'https://twitter.com/charli_bad'}]","DESVERGONZADO LAMEHUEVOS DE EPN, Y DE AYOTZINAPA Q DICES ?","['DESVERGONZADO', 'LAMEHUEVOS', 'DE', 'EPN', ',', 'Y', 'DE', 'AYOTZINAPA', 'Q', 'DICES', '?']"
9,8.0,0.794700026512146,"la, tryno, rt, ejrcito, olvido, mexicanos, perdn, lolareinadelsur, tinabrito, verdad","['Ni', 'Perdn', 'Ni', 'olvido', 'Gritamos', 'Ayotzinapa', ',', 'Apatzingan', ',', 'Atenco', ',', 'Aguas', 'Blancas', ',', 'Tlatlaya', ',', 'ABC', ',', 'Tlatelolco', ',', 'San', 'Cosme']","Ni,Perdn,Ni,olvido,Gritamos,Ayotzinapa,,,Apatzingan,,,Atenco,,,Aguas,Blancas,,,Tlatlaya,,,ABC,,,Tlatelolco,,,San,Cosme",https://twitter.com/DoceDeagosto12/status/674448025016664064,2015-12-09 04:38:34+00:00,"Ni Perdón Ni olvido Gritamos por Ayotzinapa, Apatzingan, Atenco, Aguas Blancas, Tlatlaya, ABC, Tlatelolco, San Cosme https://t.co/91lT1DX8AW","Ni Perdón Ni olvido Gritamos por Ayotzinapa, Apatzingan, Atenco, Aguas Blancas, Tlatlaya, ABC, Tlatelolco, San Cosme https://t.co/91lT1DX8AW",6.74448E+17,"{'username': 'DoceDeagosto12', 'displayname': 'Doce Deagosto', 'id': 771799321, 'description': '', 'rawDescription': '', 'descriptionUrls': [], 'verified': False, 'created': '2012-08-21T16:18:09+00:00', 'followersCount': 1864, 'friendsCount': 193, 'statusesCount': 184082, 'favouritesCount': 37533, 'listedCount': 18, 'mediaCount': 122596, 'location': '', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/2532657084/jjv9a1nm8wgqwj4q7sou_normal.jpeg', 'profileBannerUrl': None, 'url': 'https://twitter.com/DoceDeagosto12'}",[],[],0,20,5,0,6.74448E+17,es,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",http://twitter.com,Twitter Web Client,"[{'previewUrl': 'https://pbs.twimg.com/media/CVwe5bwVAAASVnT?format=jpg&name=small', 'fullUrl': 'https://pbs.twimg.com/media/CVwe5bwVAAASVnT?format=jpg&name=large', 'type': 'photo'}]",,,,"Ni Perdn Ni olvido Gritamos por Ayotzinapa, Apatzingan, Atenco, Aguas Blancas, Tlatlaya, ABC, Tlatelolco, San Cosme","['Ni', 'Perdn', 'Ni', 'olvido', 'Gritamos', 'Ayotzinapa', ',', 'Apatzingan', ',', 'Atenco', ',', 'Aguas', 'Blancas', ',', 'Tlatlaya', ',', 'ABC', ',', 'Tlatelolco', ',', 'San', 'Cosme']"
29,9.0,0.853600025177002,"el, ms, of, ayotzinapa, este, versin, noalgasolinazo, caso, critica, son","['Caso', 'Ayotzinapa', ',', 'versin', 'autoridades', 'cuestionada', ':', 'Las', 'versiones', 'autoridades', 'destino', '...']","Caso,Ayotzinapa,,,versin,autoridades,cuestionada,:,Las,versiones,autoridades,destino,...",https://twitter.com/Uriel_Yosafat/status/674199021808844800,2015-12-08 12:09:07+00:00,"Caso Ayotzinapa, la versión de las autoridades cuestionada: Las versiones de las autoridades sobre el destino ... https://t.co/LoVKp6Q4BK","Caso Ayotzinapa, la versión de las autoridades cuestionada: Las versiones de las autoridades sobre el destino ... bit.ly/1TXqmxn",6.74199E+17,"{'username': 'Uriel_Yosafat', 'displayname': 'Uriel', 'id': 179983252, 'description': 'Planning/Branding/Packaging son mi pasión y los negocios mi visión.', 'rawDescription': 'Planning/Branding/Packaging son mi pasión y los negocios mi visión.', 'descriptionUrls': [], 'verified': False, 'created': '2010-08-18T15:22:32+00:00', 'followersCount': 191, 'friendsCount': 148, 'statusesCount': 17384, 'favouritesCount': 1644, 'listedCount': 74, 'mediaCount': 87, 'location': 'México, D.F.', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1213902822934274050/-xk3btaF_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/179983252/1578251962', 'url': 'https://twitter.com/Uriel_Yosafat'}",['http://bit.ly/1TXqmxn'],['https://t.co/LoVKp6Q4BK'],0,0,0,0,6.74199E+17,es,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>",http://twitterfeed.com,twitterfeed,,,,,"Caso Ayotzinapa, la versin de las autoridades cuestionada: Las versiones de las autoridades sobre el destino ...","['Caso', 'Ayotzinapa', ',', 'versin', 'autoridades', 'cuestionada', ':', 'Las', 'versiones', 'autoridades', 'destino', '...']"
