,Topic_Num,Topic_Perc_Contrib,Keywords,Text_x,liststring,url,date,content,renderedContent,id,user,outlinks,tcooutlinks,replyCount,retweetCount,likeCount,quoteCount,conversationId,lang,source,sourceUrl,sourceLabel,media,retweetedTweet,quotedTweet,mentionedUsers,proc_text,Text_y
0,0.0,0.8377000093460083,"lucha, ayotzinapa, movimiento, mundo, asesinos, meses, podcast, nov, psicopatologa, seguir","['.', 'Podcast', '.', '.', 'Psicopatologa', 'asesinos', 'Ayotzinapa.19', 'nov']",".,Podcast,.,.,Psicopatologa,asesinos,Ayotzinapa.19,nov",https://twitter.com/EnriqueDavilaV/status/553639957789945856,2015-01-09 19:50:26+00:00,8. Podcast. #Percepciones. Psicopatología de los asesinos de Ayotzinapa.19 nov 2014 http://t.co/Z648skZ9ql,8. Podcast. #Percepciones. Psicopatología de los asesinos de Ayotzinapa.19 nov 2014 ow.ly/H2gIv,5.54e+17,"{'username': 'EnriqueDavilaV', 'displayname': 'Enrique Dávila V.', 'id': 120891590, 'description': 'Lectura, música, política, y en los ratos libres intenta escribir.\nAdvertencia: Aquí se bloquea a los bots sin previo aviso.', 'rawDescription': 'Lectura, música, política, y en los ratos libres intenta escribir.\nAdvertencia: Aquí se bloquea a los bots sin previo aviso.', 'descriptionUrls': [], 'verified': False, 'created': '2010-03-07T22:21:35+00:00', 'followersCount': 49533, 'friendsCount': 30320, 'statusesCount': 259959, 'favouritesCount': 15014, 'listedCount': 138, 'mediaCount': 1640, 'location': 'México', 'protected': False, 'linkUrl': 'http://www.re-evolucion.mx', 'linkTcourl': 'http://t.co/LSsC7pFBpD', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1004143383416172544/Z5O7B8id_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/120891590/1528241385', 'url': 'https://twitter.com/EnriqueDavilaV'}",['http://ow.ly/H2gIv'],['http://t.co/Z648skZ9ql'],0.0,0.0,0.0,0.0,5.54e+17,es,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",http://www.hootsuite.com,Hootsuite,,,,,. Podcast. . Psicopatologa de los asesinos de Ayotzinapa.19 nov,"['.', 'Podcast', '.', '.', 'Psicopatologa', 'asesinos', 'Ayotzinapa.19', 'nov']"
288,1.0,0.6754000186920166,"humanos, derechos, comisin, canallasforever, ayotzinapa, mexico, quadratinmexico, pero, atencin, millones","['OPININ', ':', ',', 'insustancial']","OPININ,:,,,insustancial",https://twitter.com/liberalestoctoc/status/552866658683871233,2015-01-07 16:37:37+00:00,"OPINIÓN: @EPN y @BarackObama, lo insustancial y #Ayotzinapa http://t.co/Jydzs03Jys","OPINIÓN: @EPN y @BarackObama, lo insustancial y #Ayotzinapa wp.me/p2fkhw-r4E",5.53e+17,"{'username': 'liberalestoctoc', 'displayname': 'LIBERALES TOC TOC', 'id': 556344372, 'description': 'Por que somos claros y tenemos la información #TocToc', 'rawDescription': 'Por que somos claros y tenemos la información #TocToc', 'descriptionUrls': [], 'verified': False, 'created': '2012-04-17T20:34:54+00:00', 'followersCount': 4027, 'friendsCount': 4631, 'statusesCount': 25153, 'favouritesCount': 230, 'listedCount': 50, 'mediaCount': 407, 'location': 'Mexico, ME', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1296952814678077440/mMck1aGn_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/556344372/1598052248', 'url': 'https://twitter.com/liberalestoctoc'}",['http://wp.me/p2fkhw-r4E'],['http://t.co/Jydzs03Jys'],0.0,7.0,0.0,0.0,5.53e+17,es,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>",http://publicize.wp.com/,WordPress.com,,,,"[{'username': 'EPN', 'displayname': 'Enrique Peña Nieto', 'id': 2897441, 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'url': 'https://twitter.com/EPN'}, {'username': 'BarackObama', 'displayname': 'Barack Obama', 'id': 813286, 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'url': 'https://twitter.com/BarackObama'}]","OPININ: y , lo insustancial y","['OPININ', ':', ',', 'insustancial']"
289,2.0,0.8917999863624573,"pea, obama, ayotzinapa, nieto, piden, manifestantes, barack, abordar, enrique, solidariza","['Obama', 'Pea', 'Nieto', 'hablarn', 'Ayotzinapa', '-', 'Univisin', '-', 'Univisin', 'Obama', 'Pea', 'Nieto', 'hablarn', 'Ayotzinapa', '...']","Obama,Pea,Nieto,hablarn,Ayotzinapa,-,Univisin,-,Univisin,Obama,Pea,Nieto,hablarn,Ayotzinapa,...",https://twitter.com/GH_Berry/status/551393588886904834,2015-01-03 15:04:10+00:00,Obama y Peña Nieto hablarán sobre Ayotzinapa - Univisión - Univisión Obama y Peña Nieto hablarán sobre Ayotzinapa ... http://t.co/eYKcxnedcu,Obama y Peña Nieto hablarán sobre Ayotzinapa - Univisión - Univisión Obama y Peña Nieto hablarán sobre Ayotzinapa ... ow.ly/2SPvIT,5.51e+17,"{'username': 'GH_Berry', 'displayname': 'GHBerry', 'id': 369594361, 'description': '', 'rawDescription': '', 'descriptionUrls': [], 'verified': False, 'created': '2011-09-07T16:33:18+00:00', 'followersCount': 61, 'friendsCount': 9, 'statusesCount': 38339, 'favouritesCount': 1, 'listedCount': 2, 'mediaCount': 1, 'location': '', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png', 'profileBannerUrl': None, 'url': 'https://twitter.com/GH_Berry'}",['http://ow.ly/2SPvIT'],['http://t.co/eYKcxnedcu'],0.0,0.0,0.0,0.0,5.51e+17,es,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",http://www.hootsuite.com,Hootsuite,,,,,Obama y Pea Nieto hablarn sobre Ayotzinapa - Univisin - Univisin Obama y Pea Nieto hablarn sobre Ayotzinapa ...,"['Obama', 'Pea', 'Nieto', 'hablarn', 'Ayotzinapa', '-', 'Univisin', '-', 'Univisin', 'Obama', 'Pea', 'Nieto', 'hablarn', 'Ayotzinapa', '...']"
293,3.0,0.8120999932289124,"el, ayotzinapa, de, se, efecto, del, familia, verdad, lo, este","['EL', 'COSTAL', 'DEL', 'SUBCONSCIENTE', 'COLECTIVO', 'NAC', '.', 'C/EL', 'RELEGO', 'DE', 'LO', 'DE', 'AYOTZINAPA', ',', 'TLATLAYA', 'Y', 'APATZINGAN', 'SOLO', 'EMPEORAR', 'EL', 'MOMENTO', 'DE', 'SOLUCION']","EL,COSTAL,DEL,SUBCONSCIENTE,COLECTIVO,NAC,.,C/EL,RELEGO,DE,LO,DE,AYOTZINAPA,,,TLATLAYA,Y,APATZINGAN,SOLO,EMPEORAR,EL,MOMENTO,DE,SOLUCION",https://twitter.com/Maximiliano1320/status/553642889176420353,2015-01-09 20:02:05+00:00,"EL COSTAL DEL SUBCONSCIENTE COLECTIVO NAC. C/EL RELEGO DE LO DE AYOTZINAPA, TLATLAYA Y APATZINGAN SOLO EMPEORARÁ EL MOMENTO DE SOLUCION","EL COSTAL DEL SUBCONSCIENTE COLECTIVO NAC. C/EL RELEGO DE LO DE AYOTZINAPA, TLATLAYA Y APATZINGAN SOLO EMPEORARÁ EL MOMENTO DE SOLUCION",5.54e+17,"{'username': 'Maximiliano1320', 'displayname': 'Maximiliano Ruiz', 'id': 390550223, 'description': '', 'rawDescription': '', 'descriptionUrls': [], 'verified': False, 'created': '2011-10-14T04:39:41+00:00', 'followersCount': 1563, 'friendsCount': 1462, 'statusesCount': 16816, 'favouritesCount': 72, 'listedCount': 6, 'mediaCount': 375, 'location': '', 'protected': False, 'linkUrl': 'http://www.maximilianoruiz.mx', 'linkTcourl': 'http://t.co/tMDSKfNOqp', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/629161734847074305/fKo5m6hq_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/390550223/1438839951', 'url': 'https://twitter.com/Maximiliano1320'}",[],[],0.0,0.0,0.0,0.0,5.54e+17,es,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",http://twitter.com,Twitter Web Client,,,,,"EL COSTAL DEL SUBCONSCIENTE COLECTIVO NAC. C/EL RELEGO DE LO DE AYOTZINAPA, TLATLAYA Y APATZINGAN SOLO EMPEORAR EL MOMENTO DE SOLUCION","['EL', 'COSTAL', 'DEL', 'SUBCONSCIENTE', 'COLECTIVO', 'NAC', '.', 'C/EL', 'RELEGO', 'DE', 'LO', 'DE', 'AYOTZINAPA', ',', 'TLATLAYA', 'Y', 'APATZINGAN', 'SOLO', 'EMPEORAR', 'EL', 'MOMENTO', 'DE', 'SOLUCION']"
294,4.0,0.8774999976158142,"la, ms, ayotzinapa, jornada, on, with, marchas, tambin, zapatista, and","['LausMH', ':', '``', 'chiquirito', ':', 'ms', 'indiferencia', 'Sicilia', ',', 'Concha', ',', 'Vera', ',', 'Solalinde', 'diocesisaltillo', 'CDHVi', '...', '``']","LausMH,:,``,chiquirito,:,ms,indiferencia,Sicilia,,,Concha,,,Vera,,,Solalinde,diocesisaltillo,CDHVi,...,``",https://twitter.com/AyotzinapaFeed/status/553240774725632001,2015-01-08 17:24:14+00:00,"RT LausMH: ""chiquirito: #Ayotzinapa  no más indiferencia Sicilia, Concha, Vera, Solalinde  diocesisaltillo CDHVi... http://t.co/o0zjGF1TwU""","RT LausMH: ""chiquirito: #Ayotzinapa  no más indiferencia Sicilia, Concha, Vera, Solalinde  diocesisaltillo CDHVi... http://t.co/o0zjGF1TwU""",5.53e+17,"{'username': 'AyotzinapaFeed', 'displayname': 'AyotzinapaFeed', 'id': 2871590751, 'description': 'Lucharemos contra toda la injusticia!', 'rawDescription': 'Lucharemos contra toda la injusticia!', 'descriptionUrls': [], 'verified': False, 'created': '2014-11-11T01:43:13+00:00', 'followersCount': 6182, 'friendsCount': 4, 'statusesCount': 1005137, 'favouritesCount': 3, 'listedCount': 220, 'mediaCount': 644493, 'location': '', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1063542946404999168/mEiw2YGa_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/2871590751/1542403375', 'url': 'https://twitter.com/AyotzinapaFeed'}",[],[],0.0,0.0,0.0,0.0,5.53e+17,es,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",https://ifttt.com,IFTTT,"[{'previewUrl': 'https://pbs.twimg.com/media/B61uEJrCEAETwAl?format=jpg&name=small', 'fullUrl': 'https://pbs.twimg.com/media/B61uEJrCEAETwAl?format=jpg&name=large', 'type': 'photo'}]",,,,"LausMH: ""chiquirito: no ms indiferencia Sicilia, Concha, Vera, Solalinde diocesisaltillo CDHVi... ""","['LausMH', ':', '``', 'chiquirito', ':', 'ms', 'indiferencia', 'Sicilia', ',', 'Concha', ',', 'Vera', ',', 'Solalinde', 'diocesisaltillo', 'CDHVi', '...', '``']"
295,5.0,0.8917999863624573,"ezln, epn, ayotzinapa, obama, tryno, dice, olvidar, carlos, despus, cni","['Maquiavelita', ':', 'Diputado', 'lder', 'banda', 'secuestradores', 'EPN', ',', 'mes', 'despus', '...']","Maquiavelita,:,Diputado,lder,banda,secuestradores,EPN,,,mes,despus,...",https://twitter.com/AyotzinapaFeed/status/553642615133184000,2015-01-09 20:01:00+00:00,"RT Maquiavelita: Diputado líder de banda de secuestradores con EPN, un mes después  #Ayotzinapa ... http://t.co/ZRf2plth3v","RT Maquiavelita: Diputado líder de banda de secuestradores con EPN, un mes después  #Ayotzinapa ... http://t.co/ZRf2plth3v",5.54e+17,"{'username': 'AyotzinapaFeed', 'displayname': 'AyotzinapaFeed', 'id': 2871590751, 'description': 'Lucharemos contra toda la injusticia!', 'rawDescription': 'Lucharemos contra toda la injusticia!', 'descriptionUrls': [], 'verified': False, 'created': '2014-11-11T01:43:13+00:00', 'followersCount': 6182, 'friendsCount': 4, 'statusesCount': 1005137, 'favouritesCount': 3, 'listedCount': 220, 'mediaCount': 644493, 'location': '', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1063542946404999168/mEiw2YGa_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/2871590751/1542403375', 'url': 'https://twitter.com/AyotzinapaFeed'}",[],[],0.0,0.0,0.0,0.0,5.54e+17,es,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",https://ifttt.com,IFTTT,"[{'previewUrl': 'https://pbs.twimg.com/media/B6CxBYnIgAA3kq7?format=png&name=small', 'fullUrl': 'https://pbs.twimg.com/media/B6CxBYnIgAA3kq7?format=png&name=large', 'type': 'photo'}]",,,,"Maquiavelita: Diputado lder de banda de secuestradores con EPN, un mes despus ...","['Maquiavelita', ':', 'Diputado', 'lder', 'banda', 'secuestradores', 'EPN', ',', 'mes', 'despus', '...']"
296,6.0,0.8917999863624573,"the, of, for, faltan, realiz, to, federal, not, tras, ayotzinapa","['``', 'The', 'Federal', 'Police', 'Not', 'Only', 'Knew', ',', 'They', 'were', 'There', ""''""]","``,The,Federal,Police,Not,Only,Knew,,,They,were,There,''",https://twitter.com/Peace_Presence/status/553635204112592896,2015-01-09 19:31:33+00:00,"""The Federal Police Not Only Knew, They were There"" #AYOTZINAPA  @NACLA http://t.co/De6ilDsqXh","""The Federal Police Not Only Knew, They were There"" #AYOTZINAPA  @NACLA bit.ly/1BPxJ02",5.54e+17,"{'username': 'Peace_Presence', 'displayname': 'FOR Peace Presence', 'id': 1586325968, 'description': 'Protective & Political Accompaniment. Solidarity w/ communities & organizations using active nonviolence to defend life, land & dignity.  RT ≠ Endorsements', 'rawDescription': 'Protective & Political Accompaniment. Solidarity w/ communities & organizations using active nonviolence to defend life, land & dignity.  RT ≠ Endorsements', 'descriptionUrls': [], 'verified': False, 'created': '2013-07-11T17:00:14+00:00', 'followersCount': 1594, 'friendsCount': 1601, 'statusesCount': 4782, 'favouritesCount': 1165, 'listedCount': 44, 'mediaCount': 708, 'location': 'Colombia', 'protected': False, 'linkUrl': 'http://peacepresence.org', 'linkTcourl': 'http://t.co/CxbrsfTiVO', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/525125261709164544/kkrScNY3_normal.jpeg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1586325968/1399404243', 'url': 'https://twitter.com/Peace_Presence'}",['http://bit.ly/1BPxJ02'],['http://t.co/De6ilDsqXh'],0.0,1.0,0.0,0.0,5.54e+17,en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",http://twitter.com,Twitter Web Client,,,,"[{'username': 'NACLA', 'displayname': 'NACLA Report', 'id': 20622592, 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'url': 'https://twitter.com/NACLA'}]","""The Federal Police Not Only Knew, They were There""","['``', 'The', 'Federal', 'Police', 'Not', 'Only', 'Knew', ',', 'They', 'were', 'There', ""''""]"
297,7.0,0.8052999973297119,"washington, omarel, vamos, personas, lajornadaonline, resistencias, festival, rt, inicia, crmenes","['Ayotzinapa', 'final', 'Festival', 'Resistencias', 'Rebeldas', '|', 'MsDe131']","Ayotzinapa,final,Festival,Resistencias,Rebeldas,|,MsDe131",https://twitter.com/hg_Viduka/status/553257864517914624,2015-01-08 18:32:08+00:00,Ayotzinapa al final del Festival de las Resistencias y las Rebeldías | MásDe131 http://t.co/S7mtFCTjgl,Ayotzinapa al final del Festival de las Resistencias y las Rebeldías | MásDe131 fb.me/3YUVmALW4,5.53e+17,"{'username': 'hg_Viduka', 'displayname': 'Adam Harrison', 'id': 292377846, 'description': 'jefe del consejo de competiciones de @nickelodeonTV', 'rawDescription': 'jefe del consejo de competiciones de @nickelodeonTV', 'descriptionUrls': [], 'verified': False, 'created': '2011-05-03T15:13:28+00:00', 'followersCount': 175, 'friendsCount': 1865, 'statusesCount': 12760, 'favouritesCount': 6643, 'listedCount': 1, 'mediaCount': 1001, 'location': 'Zapopan, Jalisco', 'protected': False, 'linkUrl': 'http://motiontwin.es', 'linkTcourl': 'https://t.co/PK3MpgACj0', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1375019233659269120/1AWPfbak_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/292377846/1616665106', 'url': 'https://twitter.com/hg_Viduka'}",['http://fb.me/3YUVmALW4'],['http://t.co/S7mtFCTjgl'],0.0,0.0,0.0,0.0,5.53e+17,es,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",http://www.facebook.com/twitter,Facebook,,,,,Ayotzinapa al final del Festival de las Resistencias y las Rebeldas | MsDe131,"['Ayotzinapa', 'final', 'Festival', 'Resistencias', 'Rebeldas', '|', 'MsDe131']"
298,8.0,0.756600022315979,"estudiantes, desaparecidos, ayotzinapa, familiares, mensaje, muertos, culpables, tierra, su, more","['Ayotzinapa', 'desaparecidos', 'muertos']","Ayotzinapa,desaparecidos,muertos",https://twitter.com/Luna_DCrystal/status/551588434473938944,2015-01-04 03:58:25+00:00,#YaMeCanse18 #FueElEstado #QueSeInvestigueAlEjercito Ayotzinapa 43 desaparecidos 6 muertos http://t.co/MoHc9U00yu,#YaMeCanse18 #FueElEstado #QueSeInvestigueAlEjercito Ayotzinapa 43 desaparecidos 6 muertos http://t.co/MoHc9U00yu,5.52e+17,"{'username': 'Luna_DCrystal', 'displayname': 'Luna_DeCristal', 'id': 159988516, 'description': 'apoyando la 4ta transformación 👍 bienvenidos a esta su humilde cuenta sígueme y te sigo ;No se aceptan antipejes ,bots y anexos', 'rawDescription': 'apoyando la 4ta transformación 👍 bienvenidos a esta su humilde cuenta sígueme y te sigo ;No se aceptan antipejes ,bots y anexos', 'descriptionUrls': [], 'verified': False, 'created': '2010-06-26T21:57:26+00:00', 'followersCount': 2267, 'friendsCount': 2446, 'statusesCount': 33396, 'favouritesCount': 4623, 'listedCount': 11, 'mediaCount': 2066, 'location': '', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1386535793582231555/CCD0rnaU_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/159988516/1600480752', 'url': 'https://twitter.com/Luna_DCrystal'}",[],[],0.0,1.0,0.0,0.0,5.52e+17,es,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://twitter.com/download/iphone,Twitter for iPhone,"[{'previewUrl': 'https://pbs.twimg.com/media/B6eive8CAAAL31S?format=jpg&name=small', 'fullUrl': 'https://pbs.twimg.com/media/B6eive8CAAAL31S?format=jpg&name=large', 'type': 'photo'}, {'previewUrl': 'https://pbs.twimg.com/media/B6eivd2CAAEPVIp?format=jpg&name=small', 'fullUrl': 'https://pbs.twimg.com/media/B6eivd2CAAEPVIp?format=jpg&name=large', 'type': 'photo'}]",,,,Ayotzinapa desaparecidos muertos,"['Ayotzinapa', 'desaparecidos', 'muertos']"
299,9.0,0.8377000093460083,"padres, normalistas, ayotzinapa, marcha, desaparicin, causa, sin, amp, desaparecidos, apoya","[':', 'Padres', 'normalistas', 'Ayotzinapa', 'unen', 'marcha', 'enfermeras']",":,Padres,normalistas,Ayotzinapa,unen,marcha,enfermeras",https://twitter.com/fightbackmexico/status/552627543363551232,2015-01-07 00:47:28+00:00,@sopitas: #YaMeCanse20 Padres de normalistas de Ayotzinapa se unen a la marcha de las enfermeras  http://t.co/K1BOkENiql,@sopitas: #YaMeCanse20 Padres de normalistas de Ayotzinapa se unen a la marcha de las enfermeras  http://t.co/K1BOkENiql,5.53e+17,"{'username': 'fightbackmexico', 'displayname': '#FightBackMexico', 'id': 2904868107, 'description': 'Soy un Mexicano que ya se canso de un gobierno Neo Liberal y Capitalista. El Mexican Moment es ahora y es de toda la nación. ¡Todos México!', 'rawDescription': 'Soy un Mexicano que ya se canso de un gobierno Neo Liberal y Capitalista. El Mexican Moment es ahora y es de toda la nación. ¡Todos México!', 'descriptionUrls': [], 'verified': False, 'created': '2014-12-04T10:08:01+00:00', 'followersCount': 1182, 'friendsCount': 1749, 'statusesCount': 6960, 'favouritesCount': 2175, 'listedCount': 20, 'mediaCount': 2170, 'location': 'Francia', 'protected': False, 'linkUrl': 'http://www.fightbackmexico.org', 'linkTcourl': 'http://t.co/nsv4zpgOAL', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/545690085354524674/41Lvno8G_normal.png', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/2904868107/1418937598', 'url': 'https://twitter.com/fightbackmexico'}",[],[],0.0,1.0,1.0,0.0,5.53e+17,es,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",http://www.hootsuite.com,Hootsuite,"[{'previewUrl': 'https://pbs.twimg.com/media/B6tLYaDIMAM4nKX?format=jpg&name=small', 'fullUrl': 'https://pbs.twimg.com/media/B6tLYaDIMAM4nKX?format=jpg&name=large', 'type': 'photo'}]",,,"[{'username': 'sopitas', 'displayname': 'Sopitas', 'id': 3362741, 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'url': 'https://twitter.com/sopitas'}]",: Padres de normalistas de Ayotzinapa se unen a la marcha de las enfermeras,"[':', 'Padres', 'normalistas', 'Ayotzinapa', 'unen', 'marcha', 'enfermeras']"
