,Topic_Num,Topic_Perc_Contrib,Keywords,Text_x,liststring,url,date,content,renderedContent,id,user,outlinks,tcooutlinks,replyCount,retweetCount,likeCount,quoteCount,conversationId,lang,source,sourceUrl,sourceLabel,media,retweetedTweet,quotedTweet,mentionedUsers,proc_text,Text_y
0,0.0,0.8377000093460083,"impunidad, otra, historia, farsa, opinin, morelos, une, ayotzinapa, rt, inseguridad","['Ayotzinapa', ',', 'historia', 'capas', 'impunidad', 'injusticia']","Ayotzinapa,,,historia,capas,impunidad,injusticia",https://twitter.com/jramiroMX/status/597030751276638208,2015-05-09 13:29:58+00:00,"Ayotzinapa, una historia con capas de impunidad e injusticia http://t.co/pEEu6UVA5T","Ayotzinapa, una historia con capas de impunidad e injusticia animalpolitico.com/2015/05/ayotzi…",5.97e+17,"{'username': 'jramiroMX', 'displayname': 'CHILANGO', 'id': 296592711, 'description': 'Que nadie manipule tu criterio, ¿como puedes evitarlo?, solo adquiriendo el buen hábito de estar bien informado, no existe otra forma', 'rawDescription': 'Que nadie manipule tu criterio, ¿como puedes evitarlo?, solo adquiriendo el buen hábito de estar bien informado, no existe otra forma', 'descriptionUrls': [], 'verified': False, 'created': '2011-05-11T02:05:17+00:00', 'followersCount': 196660, 'friendsCount': 212473, 'statusesCount': 417069, 'favouritesCount': 22, 'listedCount': 348, 'mediaCount': 4798, 'location': 'CDMX', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1311646474984476672/LjlH6TKT_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/296592711/1612965695', 'url': 'https://twitter.com/jramiroMX'}",['http://www.animalpolitico.com/2015/05/ayotzinapa-una-historia-con-capas-de-impunidad-e-injusticia/'],['http://t.co/pEEu6UVA5T'],0,4,1,0,5.97e+17,es,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",http://twitter.com,Twitter Web Client,,,,,"Ayotzinapa, una historia con capas de impunidad e injusticia","['Ayotzinapa', ',', 'historia', 'capas', 'impunidad', 'injusticia']"
39,1.0,0.756600022315979,"pgr, diario, noche, podra, esta, madre, todas, pablo, rivera, dijo","['Reconocimiento', 'PGR', 'detencin', 'Abel', 'Quevedo', ',', 'protega', 'ejecutores', 'Ayotzinapa', ':', 'GracoDetencin', 'falsaNi', 'disculpa', 'pifia', '?']","Reconocimiento,PGR,detencin,Abel,Quevedo,,,protega,ejecutores,Ayotzinapa,:,GracoDetencin,falsaNi,disculpa,pifia,?",https://twitter.com/eolopacheco/status/600083301508861953,2015-05-17 23:39:42+00:00,"Reconocimiento a PGR por detención Abel Quevedo, protegía ejecutores Ayotzinapa: Graco

Detención fue falsa

¿Ni una disculpa por la pifia?","Reconocimiento a PGR por detención Abel Quevedo, protegía ejecutores Ayotzinapa: Graco

Detención fue falsa

¿Ni una disculpa por la pifia?",6e+17,"{'username': 'eolopacheco', 'displayname': 'Eolo Pacheco 🇲🇽', 'id': 135656427, 'description': 'Facebook.com/Eolopachecomx Instagram eolopachecomx @regionalmorelos', 'rawDescription': 'https://t.co/kkVMw86uH2 Instagram eolopachecomx @regionalmorelos', 'descriptionUrls': [{'text': 'Facebook.com/Eolopachecomx', 'url': 'http://www.Facebook.com/Eolopachecomx', 'tcourl': 'https://t.co/kkVMw86uH2', 'indices': [0, 23]}], 'verified': False, 'created': '2010-04-21T22:58:44+00:00', 'followersCount': 14842, 'friendsCount': 17, 'statusesCount': 275147, 'favouritesCount': 56, 'listedCount': 142, 'mediaCount': 58836, 'location': '', 'protected': False, 'linkUrl': 'http://www.elregional.com.mx', 'linkTcourl': 'https://t.co/TcE3uO7YAF', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1049144823352111104/9QG_xbY8_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/135656427/1415335700', 'url': 'https://twitter.com/eolopacheco'}",[],[],1,8,2,0,6e+17,es,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",http://twitter.com,Twitter Web Client,,,,,"Reconocimiento a PGR por detencin Abel Quevedo, protega ejecutores Ayotzinapa: GracoDetencin fue falsaNi una disculpa por la pifia?","['Reconocimiento', 'PGR', 'detencin', 'Abel', 'Quevedo', ',', 'protega', 'ejecutores', 'Ayotzinapa', ':', 'GracoDetencin', 'falsaNi', 'disculpa', 'pifia', '?']"
40,2.0,0.8917999863624573,"nos, the, in, rt, of, students, guerra, jvenes, what, aos","['mcwisel59', ':', 'RT', 'MBcn_int', ':', 'march', 'in', 'solidarity', 'with', 'missing', 'students', 'in']","mcwisel59,:,RT,MBcn_int,:,march,in,solidarity,with,missing,students,in",https://twitter.com/AyotzinapaFeed/status/597097711301713920,2015-05-09 17:56:02+00:00,"RT mcwisel59: RT 15MBcn_int: #Barcelona march in solidarity with 43 missing students in #Ayotzinapa 

#EuroCaravan… http://t.co/D7jBpaRp3h","RT mcwisel59: RT 15MBcn_int: #Barcelona march in solidarity with 43 missing students in #Ayotzinapa 

#EuroCaravan… http://t.co/D7jBpaRp3h",5.97e+17,"{'username': 'AyotzinapaFeed', 'displayname': 'AyotzinapaFeed', 'id': 2871590751, 'description': 'Lucharemos contra toda la injusticia!', 'rawDescription': 'Lucharemos contra toda la injusticia!', 'descriptionUrls': [], 'verified': False, 'created': '2014-11-11T01:43:13+00:00', 'followersCount': 6182, 'friendsCount': 4, 'statusesCount': 1005137, 'favouritesCount': 3, 'listedCount': 220, 'mediaCount': 644493, 'location': '', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1063542946404999168/mEiw2YGa_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/2871590751/1542403375', 'url': 'https://twitter.com/AyotzinapaFeed'}",[],[],0,0,0,0,5.97e+17,en,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",https://ifttt.com,IFTTT,"[{'previewUrl': 'https://pbs.twimg.com/media/CElFfjAWoAAhZVy?format=jpg&name=small', 'fullUrl': 'https://pbs.twimg.com/media/CElFfjAWoAAhZVy?format=jpg&name=large', 'type': 'photo'}, {'previewUrl': 'https://pbs.twimg.com/media/CElFfjWWgAA_eBX?format=jpg&name=small', 'fullUrl': 'https://pbs.twimg.com/media/CElFfjWWgAA_eBX?format=jpg&name=large', 'type': 'photo'}, {'previewUrl': 'https://pbs.twimg.com/media/CElFfkaWgAA6tPx?format=jpg&name=small', 'fullUrl': 'https://pbs.twimg.com/media/CElFfkaWgAA6tPx?format=jpg&name=large', 'type': 'photo'}]",,,,mcwisel59: RT MBcn_int: march in solidarity with missing students in,"['mcwisel59', ':', 'RT', 'MBcn_int', ':', 'march', 'in', 'solidarity', 'with', 'missing', 'students', 'in']"
41,3.0,0.86080002784729,"yamecanse_ac, se, rt, dice, mex, to, julio, quin, laalamedamor, laalameda_aca","['YaMeCanse_AC', ':', ':', 'RT', 'LaAlamedaMor', ':', '``', 'LaAlameda_ACA', ':', 'Julio', 'Wilber', 'U']","YaMeCanse_AC,:,:,RT,LaAlamedaMor,:,``,LaAlameda_ACA,:,Julio,Wilber,U",https://twitter.com/AyotzinapaFeed/status/597157658639106049,2015-05-09 21:54:15+00:00,"RT YaMeCanse_AC: #Iguala #Ayotzinapa #castillo_belkys: RT LaAlamedaMor: ""LaAlameda_ACA: #TeBuscamos Julio Wilber U… http://t.co/EedlpU9F6I","RT YaMeCanse_AC: #Iguala #Ayotzinapa #castillo_belkys: RT LaAlamedaMor: ""LaAlameda_ACA: #TeBuscamos Julio Wilber U… pic.twitter.com/EedlpU9F6I",5.97e+17,"{'username': 'AyotzinapaFeed', 'displayname': 'AyotzinapaFeed', 'id': 2871590751, 'description': 'Lucharemos contra toda la injusticia!', 'rawDescription': 'Lucharemos contra toda la injusticia!', 'descriptionUrls': [], 'verified': False, 'created': '2014-11-11T01:43:13+00:00', 'followersCount': 6182, 'friendsCount': 4, 'statusesCount': 1005137, 'favouritesCount': 3, 'listedCount': 220, 'mediaCount': 644493, 'location': '', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1063542946404999168/mEiw2YGa_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/2871590751/1542403375', 'url': 'https://twitter.com/AyotzinapaFeed'}",['https://twitter.com/YaMeCanse_AC/status/597157374294663168/photo/1'],['http://t.co/EedlpU9F6I'],0,0,0,0,5.97e+17,es,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",https://ifttt.com,IFTTT,,,,,"YaMeCanse_AC: : RT LaAlamedaMor: ""LaAlameda_ACA: Julio Wilber U","['YaMeCanse_AC', ':', ':', 'RT', 'LaAlamedaMor', ':', '``', 'LaAlameda_ACA', ':', 'Julio', 'Wilber', 'U']"
43,4.0,0.756600022315979,"ayotzinapa, crimen, sobreviviente, marchan, yamecanse_farc, coordinadora, dm, marc, noticias, funcionarios","['morenitoyosoy', ':', 'RT', 'mexevalua', ':', '``', 'Ordenan', 'SEDENAmx', 'abrir', 'partes', '``', 'REFORMACOM']","morenitoyosoy,:,RT,mexevalua,:,``,Ordenan,SEDENAmx,abrir,partes,``,REFORMACOM",https://twitter.com/AyotzinapaFeed/status/594713125401796608,2015-05-03 04:00:32+00:00,"RT morenitoyosoy: RT mexevalua: ""Ordenan a SEDENAmx abrir partes sobre #Ayotzinapa"" #Nota de REFORMACOM http://t.co/vZH8B3yMXy","RT morenitoyosoy: RT mexevalua: ""Ordenan a SEDENAmx abrir partes sobre #Ayotzinapa"" #Nota de REFORMACOM bit.ly/1GMt8Q1",5.95e+17,"{'username': 'AyotzinapaFeed', 'displayname': 'AyotzinapaFeed', 'id': 2871590751, 'description': 'Lucharemos contra toda la injusticia!', 'rawDescription': 'Lucharemos contra toda la injusticia!', 'descriptionUrls': [], 'verified': False, 'created': '2014-11-11T01:43:13+00:00', 'followersCount': 6182, 'friendsCount': 4, 'statusesCount': 1005137, 'favouritesCount': 3, 'listedCount': 220, 'mediaCount': 644493, 'location': '', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1063542946404999168/mEiw2YGa_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/2871590751/1542403375', 'url': 'https://twitter.com/AyotzinapaFeed'}",['http://bit.ly/1GMt8Q1'],['http://t.co/vZH8B3yMXy'],0,0,0,0,5.95e+17,es,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",https://ifttt.com,IFTTT,,,,,"morenitoyosoy: RT mexevalua: ""Ordenan a SEDENAmx abrir partes sobre "" de REFORMACOM","['morenitoyosoy', ':', 'RT', 'mexevalua', ':', '``', 'Ordenan', 'SEDENAmx', 'abrir', 'partes', '``', 'REFORMACOM']"
44,5.0,0.891700029373169,"menos, at, jurez, fotos, javier, muerte, torres, padre, blog, farc","['Acte', 'suport', 'familiars', 'estudiants', 'morts', 'Mxic', 'LIVE', 'at']","Acte,suport,familiars,estudiants,morts,Mxic,LIVE,at",https://twitter.com/LenaGarFe/status/596989020548169730,2015-05-09 10:44:08+00:00,@CGTCatalunya  Acte suport familiars 43 estudiants morts a  #Ayotzinapa a Mèxic  #barcelona  LIVE at http://t.co/bUzi0glZJ3 @AyotzinapaFeed,@CGTCatalunya  Acte suport familiars 43 estudiants morts a  #Ayotzinapa a Mèxic  #barcelona  LIVE at bambuser.com/v/5498847 @AyotzinapaFeed,5.97e+17,"{'username': 'LenaGarFe', 'displayname': 'Lena García Feijoo', 'id': 125994487, 'description': 'Mis ideas no son revolucionarias si no implican acciones en el ámbito educativo, familiar y político. Y amoroso', 'rawDescription': 'Mis ideas no son revolucionarias si no implican acciones en el ámbito educativo, familiar y político. Y amoroso', 'descriptionUrls': [], 'verified': False, 'created': '2010-03-24T14:19:12+00:00', 'followersCount': 2508, 'friendsCount': 3134, 'statusesCount': 133930, 'favouritesCount': 73166, 'listedCount': 32, 'mediaCount': 15753, 'location': 'México, DF', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1298203899774418945/8N1eFSCo_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/125994487/1435662813', 'url': 'https://twitter.com/LenaGarFe'}",['http://bambuser.com/v/5498847'],['http://t.co/bUzi0glZJ3'],0,1,0,0,5.97e+17,ca,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",http://twitter.com,Twitter Web Client,,,,"[{'username': 'CGTCatalunya', 'displayname': 'CGT Catalunya 🚩🏴', 'id': 15586033, 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'url': 'https://twitter.com/CGTCatalunya'}, {'username': 'AyotzinapaFeed', 'displayname': 'AyotzinapaFeed', 'id': 2871590751, 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'url': 'https://twitter.com/AyotzinapaFeed'}]",Acte suport familiars estudiants morts a a Mxic LIVE at,"['Acte', 'suport', 'familiars', 'estudiants', 'morts', 'Mxic', 'LIVE', 'at']"
58,6.0,0.756600022315979,"en, ms, hay, rt, al, lucha, epigmenioibarra, desapariciones, gustavovela, aguilax","['Johel_de_55', ':', 'RT', 'Lamb_0f_God', ':', 'En', 'dnde', 'gana', 'ms', 'plaidera', '?', '-', '-', 'CNTE-', 'CETEG-', 'octubre-', 'diciembre-']","Johel_de_55,:,RT,Lamb_0f_God,:,En,dnde,gana,ms,plaidera,?,-,-,CNTE-,CETEG-,octubre-,diciembre-",https://twitter.com/AyotzinapaFeed/status/594390765167607809,2015-05-02 06:39:36+00:00,"RT Johel_de_55: RT Lamb_0f_God: En dónde se gana más como plañidera?

- 43 #Ayotzinapa
- CNTE
- CETEG
- 2 de octubre
- 1 de diciembre
- #mo…","RT Johel_de_55: RT Lamb_0f_God: En dónde se gana más como plañidera?

- 43 #Ayotzinapa
- CNTE
- CETEG
- 2 de octubre
- 1 de diciembre
- #mo…",5.94e+17,"{'username': 'AyotzinapaFeed', 'displayname': 'AyotzinapaFeed', 'id': 2871590751, 'description': 'Lucharemos contra toda la injusticia!', 'rawDescription': 'Lucharemos contra toda la injusticia!', 'descriptionUrls': [], 'verified': False, 'created': '2014-11-11T01:43:13+00:00', 'followersCount': 6182, 'friendsCount': 4, 'statusesCount': 1005137, 'favouritesCount': 3, 'listedCount': 220, 'mediaCount': 644493, 'location': '', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1063542946404999168/mEiw2YGa_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/2871590751/1542403375', 'url': 'https://twitter.com/AyotzinapaFeed'}",[],[],0,1,0,0,5.94e+17,es,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",https://ifttt.com,IFTTT,,,,,Johel_de_55: RT Lamb_0f_God: En dnde se gana ms como plaidera?- - CNTE- CETEG- de octubre- de diciembre-,"['Johel_de_55', ':', 'RT', 'Lamb_0f_God', ':', 'En', 'dnde', 'gana', 'ms', 'plaidera', '?', '-', '-', 'CNTE-', 'CETEG-', 'octubre-', 'diciembre-']"
59,7.0,0.8377000093460083,"pri, prd, mexico, palabritadepape, yamecanse_ac, disappeared, rt, voto, cuenta, atencin","['YaMeCanse_AC', ':', ':', 'siempre', 'carretera', 'malas', 'condi']","YaMeCanse_AC,:,:,siempre,carretera,malas,condi",https://twitter.com/AyotzinapaFeed/status/597125945577873409,2015-05-09 19:48:14+00:00,RT YaMeCanse_AC: #Iguala #Ayotzinapa #rodrimen3: como siempre la carretera de #Iguala a #cuernavaca en malas condi… http://t.co/OCLtuQR7Qd,RT YaMeCanse_AC: #Iguala #Ayotzinapa #rodrimen3: como siempre la carretera de #Iguala a #cuernavaca en malas condi… pic.twitter.com/OCLtuQR7Qd,5.97e+17,"{'username': 'AyotzinapaFeed', 'displayname': 'AyotzinapaFeed', 'id': 2871590751, 'description': 'Lucharemos contra toda la injusticia!', 'rawDescription': 'Lucharemos contra toda la injusticia!', 'descriptionUrls': [], 'verified': False, 'created': '2014-11-11T01:43:13+00:00', 'followersCount': 6182, 'friendsCount': 4, 'statusesCount': 1005137, 'favouritesCount': 3, 'listedCount': 220, 'mediaCount': 644493, 'location': '', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1063542946404999168/mEiw2YGa_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/2871590751/1542403375', 'url': 'https://twitter.com/AyotzinapaFeed'}",['https://twitter.com/YaMeCanse_AC/status/597125636247945216/photo/1'],['http://t.co/OCLtuQR7Qd'],0,0,0,0,5.97e+17,es,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",https://ifttt.com,IFTTT,,,,,YaMeCanse_AC: : como siempre la carretera de a en malas condi,"['YaMeCanse_AC', ':', ':', 'siempre', 'carretera', 'malas', 'condi']"
107,8.0,0.854200005531311,"meses, rt, personas, despus, ayotzinapa, sept, loe_, emotiva, siete, tragedia","['Roberto', 'Campa', 'imputa', 'Murillo', 'Karam', 'tragedia', 'Ayotzinapa', '.']","Roberto,Campa,imputa,Murillo,Karam,tragedia,Ayotzinapa,.",https://twitter.com/VladRothschuh/status/597025325416058881,2015-05-09 13:08:24+00:00,Roberto Campa imputa a Murillo Karam  la tragedia de Ayotzinapa. http://t.co/9YmhqQi6jN,Roberto Campa imputa a Murillo Karam  la tragedia de Ayotzinapa. buff.ly/1czlbnp,5.97e+17,"{'username': 'VladRothschuh', 'displayname': 'PALACIO NACIONAL 🉐', 'id': 375330011, 'description': 'Periodista, Editor, Autor.\n#PalacioNacional', 'rawDescription': 'Periodista, Editor, Autor.\n#PalacioNacional', 'descriptionUrls': [], 'verified': False, 'created': '2011-09-17T23:01:07+00:00', 'followersCount': 17332, 'friendsCount': 18610, 'statusesCount': 268349, 'favouritesCount': 8081, 'listedCount': 35, 'mediaCount': 28370, 'location': 'México', 'protected': False, 'linkUrl': 'https://www.vladimirrothschuh.com/', 'linkTcourl': 'https://t.co/FfgYNQ7WJv', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1384915824834535425/q7RgpbDP_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/375330011/1607080875', 'url': 'https://twitter.com/VladRothschuh'}",['http://buff.ly/1czlbnp'],['http://t.co/9YmhqQi6jN'],0,0,0,0,5.97e+17,es,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",https://buffer.com,Buffer,,,,,Roberto Campa imputa a Murillo Karam la tragedia de Ayotzinapa.,"['Roberto', 'Campa', 'imputa', 'Murillo', 'Karam', 'tragedia', 'Ayotzinapa', '.']"
112,9.0,0.756600022315979,"caravana, rt, estn, parents, from, puede, ayotzinapa, lleg, lasillarota, grupos","['RT', ':', 'AMLO', 'apoya', 'Ayotzinapa', '(', 'AUDIO', ')']","RT,:,AMLO,apoya,Ayotzinapa,(,AUDIO,)",https://twitter.com/MUNDOMexico_/status/602291784966803456,2015-05-24 01:55:26+00:00,@Ferdapupa RT: AMLO apoya Ayotzinapa (AUDIO) https://t.co/AqfjBwf3xD …,@Ferdapupa RT: AMLO apoya Ayotzinapa (AUDIO) app.box.com/s/ilwzr9vxo8zp… …,6.02292e+17,"{'username': 'MUNDOMexico_', 'displayname': 'Yo S.U.M.O. por 🇲🇽MEXICO 🇲🇽', 'id': 91870046, 'description': 'PROPUESTA de RESCATE de VENEZUELA o MÉXICO: bit.ly/31DgtRK', 'rawDescription': 'PROPUESTA de RESCATE de VENEZUELA o MÉXICO: https://t.co/tjtq0debUC', 'descriptionUrls': [{'text': 'bit.ly/31DgtRK', 'url': 'http://bit.ly/31DgtRK', 'tcourl': 'https://t.co/tjtq0debUC', 'indices': [44, 67]}], 'verified': False, 'created': '2009-11-22T21:16:43+00:00', 'followersCount': 7783, 'friendsCount': 8229, 'statusesCount': 594393, 'favouritesCount': 267441, 'listedCount': 99, 'mediaCount': 60788, 'location': 'Mexico', 'protected': False, 'linkUrl': 'http://www.mexicoimpune.simplesite.com', 'linkTcourl': 'https://t.co/kP8o8T6b4c', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1392004652934311937/IpOe8tOO_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/91870046/1620715018', 'url': 'https://twitter.com/MUNDOMexico_'}",['https://app.box.com/s/ilwzr9vxo8zp0yxdfamw7df92klsj57g'],['https://t.co/AqfjBwf3xD'],0,0,0,0,6.02292e+17,es,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",http://twitter.com,Twitter Web Client,,,,,RT: AMLO apoya Ayotzinapa (AUDIO),"['RT', ':', 'AMLO', 'apoya', 'Ayotzinapa', '(', 'AUDIO', ')']"
